Bird ID,Latitude,Longitude,CID
51620,41.24651,-77.78386,1
51620,41.24629,-77.78363,2
51620,41.24321,-77.79103,3
51620,41.24287,-77.79098,4
51620,41.24665,-77.77411,5
51620,41.24657,-77.78054,6
51620,41.24598,-77.78281,7
51620,41.24602,-77.78248,8
51620,41.24564,-77.78255,9
51620,41.24301,-77.78699,10
51620,41.24589,-77.78267,11
51620,41.24686,-77.78325,12
51620,41.24704,-77.78288,13
51620,41.24579,-77.78047,14
51618,41.0982,-78.00794,1
51618,41.09771,-78.00877,2
51618,41.09848,-78.0086,3
51618,41.09894,-78.00721,4
51618,41.10061,-78.00771,5
51618,41.09791,-78.00827,6
51618,41.09873,-78.00893,7
51618,41.09873,-78.00876,8
51618,41.09856,-78.00856,9
51618,41.09878,-78.0088,10
51618,41.09896,-78.00722,11
51618,41.10207,-78.008,12
51618,41.09749,-78.00648,13
51618,41.09884,-78.00845,14
51618,41.1002,-78.00759,15
51618,41.09874,-78.00872,16
51618,41.09877,-78.00879,17
51618,41.10344,-78.00616,18
51618,41.10369,-78.00719,19
51618,41.10359,-78.00641,20
51618,41.10161,-78.00727,21
51574,41.3027,-77.75933,1
51574,41.30615,-77.75468,2
51574,41.30591,-77.75414,3
51574,41.30737,-77.75613,4
51574,41.3077,-77.75579,5
51574,41.30751,-77.75727,6
51574,41.30784,-77.75713,7
51574,41.30725,-77.75725,8
51574,41.30785,-77.75778,9
51574,41.30708,-77.75796,10
51574,41.30807,-77.75782,11
51574,41.30765,-77.75596,12
51574,41.3079,-77.75785,13
51574,41.30659,-77.75318,14
51574,41.30759,-77.75511,15
51578,41.27987,-77.74746,1
51578,41.28006,-77.74587,2
51578,41.27969,-77.74524,3
51578,41.27631,-77.74125,4
51578,41.27958,-77.74569,5
51578,41.27974,-77.74733,6
51578,41.28188,-77.74946,7
51578,41.27755,-77.74441,8
51578,41.27639,-77.74393,9
51578,41.28183,-77.75004,10
51578,41.28047,-77.7451,11
51578,41.28161,-77.74925,12
51578,41.28055,-77.74715,13
51578,41.281,-77.74701,14
51578,41.28198,-77.74917,15
51578,41.28009,-77.74264,16
51578,41.28229,-77.74594,17
51578,41.28266,-77.74522,18
51578,41.28274,-77.74514,19
51635,40.86387,-78.05589,1
51635,40.86334,-78.0545,2
51635,40.86534,-78.05881,3
51635,40.86572,-78.0589,4
51635,40.86798,-78.05824,5
